platform,app_id,source_file,source_api,source_loc,sink_file,sink_api,sink_loc,startpoint_type,flow_type
wechat,wx03ca7dc785499e0d,common/main.js,wx.getStorageSync,86,common/main.js,t.request,88,api.asyn,network_request
wechat,wx03ca7dc785499e0d,common/main.js,wx.getUserInfo,253,common/main.js,e.setStorageSync,256,api.asyn,local_storage
wechat,wx03ca7dc785499e0d,components/chats-list/chats-news.js,wx.getUserInfo,114,components/chats-list/chats-news.js,t.setStorageSync,117,api.asyn,local_storage
wechat,wx03ca7dc785499e0d,components/chats-list/chats-news.js,wx.chooseImage,315,components/chats-list/chats-news.js,t.uploadFile,319,api.asyn,file_upload
wechat,wx03ca7dc785499e0d,pages/index/chatgpt.js,wx.getUserInfo,64,pages/index/chatgpt.js,t.setStorageSync,67,api.asyn,local_storage
wechat,wx03ca7dc785499e0d,pages/index/mine.js,wx.getUserInfo,92,pages/index/mine.js,e.setStorageSync,95,api.asyn,local_storage
wechat,wx03ca7dc785499e0d,pages/index/question.js,wx.getUserInfo,83,pages/index/question.js,t.setStorageSync,86,api.asyn,local_storage
wechat,wx03ca7dc785499e0d,pages/mine/mine-attestation/mine-attestation.js,wx.chooseImage,102,pages/mine/mine-attestation/mine-attestation.js,e.uploadFile,108,api.asyn,file_upload
wechat,wx03ca7dc785499e0d,pages/mine/mine-equityfund/mine-equityfund.js,wx.getUserInfo,142,pages/mine/mine-equityfund/mine-equityfund.js,n.setStorageSync,145,api.asyn,local_storage
wechat,wx03ca7dc785499e0d,pages/mine/mine-login/mine-login.js,wx.getUserInfo,179,pages/mine/mine-login/mine-login.js,t.setStorageSync,182,api.asyn,local_storage
wechat,wx03ca7dc785499e0d,pages/mine/mine-login/mine-login.js,wx.getUserInfo,511,pages/mine/mine-login/mine-login.js,t.setStorageSync,512,api.asyn,local_storage
wechat,wx03ca7dc785499e0d,pages/mine/mine-marketopen/mine-openmarket.js,wx.chooseImage,127,pages/mine/mine-marketopen/mine-openmarket.js,e.uploadFile,134,api.asyn,file_upload
wechat,wx03ca7dc785499e0d,pages/mine/mine-second/mine-second.js,wx.getUserInfo,82,pages/mine/mine-second/mine-second.js,e.setStorageSync,85,api.asyn,local_storage
